ID,Name,Concepticon_ID,Concepticon_Gloss,Core_list,Semantic_category,Semantic_field,Borrowed_score,Age_score,Simplicity_score
7-63,the mortar(2),1731,MORTAR BINDER,yes,Noun,The house,0.5,0.834545454545,0.954545454545
7-64,the adobe,901,ADOBE,yes,Noun,The house,0.313953488372,0.820930232558,0.813953488372
8-11,the farmer,979,FARMER,yes,Noun,Agriculture and vegetation,0.44347826087,0.773913043478,0.728260869565
8-12,the field,212,FIELD,yes,Noun,Agriculture and vegetation,0.190602836879,0.842553191489,0.882978723404
8-13,the garden,586,GARDEN,yes,Noun,Agriculture and vegetation,0.461776859504,0.82479338843,0.925619834711
8-15,to cultivate,1541,CULTIVATE,yes,Verb,Agriculture and vegetation,0.137064534552,0.790405482581,0.750142775557
8-16,the fence,1690,FENCE,yes,Noun,Agriculture and vegetation,0.268292682927,0.866202090592,0.942508710801
8-17,the ditch,2002,DITCH,yes,Noun,Agriculture and vegetation,0.483108108108,0.861824324324,0.903716216216
8-21,to plough/plow,1921,PLOUGH,yes,Verb,Agriculture and vegetation,0.261501210654,0.809685230024,0.817191283293
8-212,the furrow,1794,FURROW,yes,Noun,Agriculture and vegetation,0.189473684211,0.871578947368,0.889473684211
8-22,to dig,1418,DIG,yes,Verb,Agriculture and vegetation,0.10834670947,0.834349919743,0.89165329053
8-23,the spade,1176,SPADE,yes,Noun,Agriculture and vegetation,0.498626373626,0.796703296703,0.929945054945
8-24,the shovel,1901,SHOVEL,yes,Noun,Agriculture and vegetation,0.610759493671,0.746835443038,0.96835443038
8-25,the hoe,284,HOE,yes,Noun,Agriculture and vegetation,0.291666666667,0.810714285714,0.889880952381
8-26,the fork(2)/pitchfork,337,PITCHFORK,yes,Noun,Agriculture and vegetation,0.407514450867,0.776300578035,0.913294797688
8-27,the rake,338,RAKE,yes,Noun,Agriculture and vegetation,0.348684210526,0.802631578947,0.809210526316
8-31,to sow,748,SOW SEEDS,yes,Verb,Agriculture and vegetation,0.0678879310345,0.82025862069,0.85775862069
8-311,the seed,714,SEED,yes,Noun,Agriculture and vegetation,0.198807157058,0.882504970179,0.916500994036
8-32,to mow,190,MOW,yes,Verb,Agriculture and vegetation,0.156818181818,0.803636363636,0.85
8-33,the sickle or scythe,2132,SICKLE OR SCYTHE,yes,Noun,Agriculture and vegetation,0.522222222222,0.873333333333,0.916666666667
8-34,to thresh,285,THRESH,yes,Verb,Agriculture and vegetation,0.173611111111,0.840740740741,0.826388888889
8-35,the threshing-floor,223,THRESHING-FLOOR,yes,Noun,Agriculture and vegetation,0.177966101695,0.8,0.754237288136
8-41,the harvest,3541,HARVEST OR HARVEST SEASON,yes,Noun,Agriculture and vegetation,0.272491349481,0.800605536332,0.733996539792
8-42,the grain,605,GRAIN,yes,Noun,Agriculture and vegetation,0.390977443609,0.884962406015,0.906015037594
8-43,the wheat,1077,WHEAT,yes,Noun,Agriculture and vegetation,0.522413793103,0.862068965517,0.910344827586
8-44,the barley,932,BARLEY,yes,Noun,Agriculture and vegetation,0.548165137615,0.862385321101,0.95871559633
8-45,the rye,23,RYE,yes,Noun,Agriculture and vegetation,0.33,0.762666666667,0.866666666667
8-46,the oats,60,OAT,yes,Noun,Agriculture and vegetation,0.678571428571,0.773626373626,0.89010989011
8-47,the maize/corn,506,MAIZE,yes,Noun,Agriculture and vegetation,0.39156626506,0.80843373494,0.915662650602
8-48,the rice,926,RICE,yes,Noun,Agriculture and vegetation,0.616666666667,0.818888888889,0.972222222222
8-51,the grass,606,GRASS,yes,Noun,Agriculture and vegetation,0.173719376392,0.86013363029,0.973273942094
8-52,the hay,342,HAY,yes,Noun,Agriculture and vegetation,0.149253731343,0.772139303483,0.858208955224
8-53,the plant,653,PLANT (VEGETATION),yes,Noun,Agriculture and vegetation,0.358090185676,0.841114058355,0.753315649867
8-531,to plant,1486,PLANT (SOMETHING),yes,Verb,Agriculture and vegetation,0.230198019802,0.869801980198,0.836633663366
8-54,the root,670,ROOT,yes,Noun,Agriculture and vegetation,0.0558823529412,0.864705882353,0.972549019608
8-55,the branch,3223,BRANCH OR TWIG,yes,Noun,Agriculture and vegetation,0.171532846715,0.877737226277,0.956204379562
8-56,the leaf,628,LEAF,yes,Noun,Agriculture and vegetation,0.103250478011,0.898470363289,0.977055449331
8-57,the flower,239,FLOWER,yes,Noun,Agriculture and vegetation,0.251256281407,0.882412060302,0.959798994975
8-6,the tree,906,TREE,yes,Noun,Agriculture and vegetation,0.252136752137,0.789743589744,0.951566951567
8-61,the oak,644,OAK,yes,Noun,Agriculture and vegetation,0.290155440415,0.845595854922,0.917098445596
8-62,the beech,1950,BEECH,yes,Noun,Agriculture and vegetation,0.138613861386,0.887128712871,0.881188118812
8-63,the birch,1855,BIRCH,yes,Noun,Agriculture and vegetation,0.187919463087,0.802684563758,0.919463087248
8-64,the pine,1740,PINE,yes,Noun,Agriculture and vegetation,0.414746543779,0.803686635945,0.880184331797
8-65,the fir,1915,FIR,yes,Noun,Agriculture and vegetation,0.315789473684,0.938345864662,0.954887218045
8-66,the acorn,968,ACORN,yes,Noun,Agriculture and vegetation,0.171428571429,0.897142857143,0.828571428571
8-67,the vine,343,VINE,yes,Noun,Agriculture and vegetation,0.194087403599,0.82853470437,0.778277634961
8-68,the tobacco,974,TOBACCO,yes,Noun,Agriculture and vegetation,0.6640969163,0.797797356828,0.950440528634
8-69,to smoke,1689,SMOKE (INHALE),yes,Verb,Agriculture and vegetation,0.19918699187,0.792682926829,0.725609756098
8-691,the pipe,1124,PIPE,yes,Noun,Agriculture and vegetation,0.601851851852,0.811111111111,0.932098765432
8-72,the tree stump,241,TREE STUMP,yes,Noun,Agriculture and vegetation,0.11855104281,0.80834248079,0.824368825467
8-73,the tree trunk,344,TREE TRUNK,yes,Noun,Agriculture and vegetation,0.0976821192053,0.782119205298,0.810154525386
8-74,the forked branch,409,FORKED BRANCH,yes,Noun,Agriculture and vegetation,0.136363636364,0.777272727273,0.757575757576
8-75,the bark,1204,BARK,yes,Noun,Agriculture and vegetation,0.160965794769,0.805633802817,0.87323943662
8-76,the sap,345,SAP,yes,Noun,Agriculture and vegetation,0.198396793587,0.828056112224,0.831663326653
8-81,the palm tree,1181,PALM TREE,yes,Noun,Agriculture and vegetation,0.3,0.816,0.92
8-82,the coconut,970,COCONUT,yes,Noun,Agriculture and vegetation,0.492424242424,0.79696969697,0.840909090909
8-83,the citrus fruit,1126,CITRUS FRUIT,yes,Noun,Agriculture and vegetation,0.602272727273,0.756818181818,0.852272727273
8-84,the banana,868,BANANA,yes,Noun,Agriculture and vegetation,0.621794871795,0.741025641026,0.974358974359
8-85,the banyan,346,BANYAN,yes,Noun,Agriculture and vegetation,0.5,0.775862068966,0.913793103448
8-91,the sweet potato,159,SWEET POTATO,yes,Noun,Agriculture and vegetation,0.347074468085,0.79414893617,0.800531914894
8-912,the yam,410,YAM,yes,Noun,Agriculture and vegetation,0.30223880597,0.84552238806,0.798507462687
8-92,the cassava/manioc,925,CASSAVA,yes,Noun,Agriculture and vegetation,0.426229508197,0.808196721311,0.918032786885
8-93,the gourd,411,GOURD,yes,Noun,Agriculture and vegetation,0.263513513514,0.800540540541,0.939189189189
8-931,the pumpkin or squash,864,PUMPKIN,yes,Noun,Agriculture and vegetation,0.401898734177,0.811392405063,0.920886075949
8-94,the bamboo,1927,BAMBOO,yes,Noun,Agriculture and vegetation,0.358552631579,0.785526315789,0.960526315789
8-941,the sugar cane,146,SUGAR CANE,yes,Noun,Agriculture and vegetation,0.253846153846,0.875384615385,0.846153846154
8-96,the fish poison,348,FISH POISON,yes,Noun,Agriculture and vegetation,0.205882352941,0.788235294118,0.838235294118
8-97,the nettle,33,NETTLE,yes,Noun,Agriculture and vegetation,0.15,0.836666666667,0.883333333333
