ID,Target_Form_ID,Source_Form_ID,Comment,Source,Source_relation,Source_word,Source_meaning,Source_certain,Source_languoid,Source_languoid_glottocode
14334,Indonesian-11-88-1,,,,earlier,mahargha,expensive,yes,Sanskrit,sans1269
14335,Indonesian-12-17-1,,,,earlier,śeṣa,the rest,yes,Sanskrit,sans1269
14336,Indonesian-12-232-1,,,,earlier,bhāgī,divide,yes,Sanskrit,sans1269
14337,Indonesian-11-91-1,,,,earlier,bhāgī,divide,yes,Sanskrit,sans1269
14338,Indonesian-12-47-1,,,,earlier,uʹttara,north,yes,Sanskrit,sans1269
14339,Indonesian-12-83-1,,,,earlier,bola,ball,yes,Portuguese,port1283
14340,Indonesian-13-1,,,,earlier,nulla,zero,yes,Italian,ital1282
14341,Indonesian-13-14-1,,,,earlier,samūha,multitude,yes,Sanskrit,sans1269
14342,Indonesian-13-34-1,,,,earlier,prathama,first,yes,Sanskrit,sans1269
14343,Indonesian-14-11-1,,,,earlier,(al)-waqtu,"(the) time, (the) period",yes,Classical Arabic,
14344,Indonesian-14-12-1,,,,earlier,‘umr,"life, lifetime, age",yes,Arabic,stan1318
14345,Indonesian-14-251-1,,,,earlier,awwal,"first, foremost, chief, main, beginning",yes,Arabic,stan1318
14346,Indonesian-14-16-1,,,,earlier,awwal,"first, foremost, chief, main, beginning",yes,Arabic,stan1318
14347,Indonesian-14-19-1,,,,earlier,śīghra,quick,yes,Sanskrit,sans1269
14348,Indonesian-14-331-1,,,,earlier,śīghra,quick,yes,Sanskrit,sans1269
14349,Indonesian-14-25-1,,,,earlier,mūla,"root, beginning",yes,Sanskrit,sans1269
14350,Indonesian-14-26-1,,,,earlier,āxir,last,yes,Arabic,stan1318
14351,Indonesian-14-43-1,,,,earlier,fajr,"dawn, daybreak",yes,Arabic,stan1318
14352,Indonesian-14-61-1,,,,earlier,domingo,Sunday,yes,Portuguese,port1283
14353,Indonesian-14-62-1,,,,earlier,domingo,Sunday,yes,Portuguese,port1283
14354,Indonesian-14-63-1,,,,earlier,(yaum al-)ithnain,Monday,yes,Arabic,stan1318
14355,Indonesian-14-64-1,,,,earlier,(yaum ath-)thalātha,Tuesday,yes,Arabic,stan1318
14356,Indonesian-14-65-1,,,,earlier,(yaum al-)arba‘ā’,Wednesday,yes,Arabic,stan1318
14357,Indonesian-14-66-1,,,,earlier,(yaum al-)xamīs,Thursday,yes,Arabic,stan1318
14358,Indonesian-14-67-1,,,,earlier,(yaum al-)jum‘at-,Friday,yes,Arabic,stan1318
14359,Indonesian-14-68-1,,,,earlier,shabbat,Saturday,yes,Hebrew,hebr1245
14360,Indonesian-14-78-1,,,,earlier,mausim,"time of the year, season",yes,Arabic,stan1318
14361,Indonesian-15-31-1,,,,earlier,rasa,"sap, juice, essence, taste, feeling",yes,Sanskrit,sans1269
14362,Indonesian-15-61-1,,,,earlier,varṇa,"cover, experience, color, class",yes,Sanskrit,sans1269
14363,Indonesian-15-72-1,,,,earlier,rasa,"sap, juice, essence, taste, feeling",yes,Sanskrit,sans1269
14364,Indonesian-16-15-1,,,,earlier,ḥairān,"confused, startled",yes,Arabic,stan1318
14365,Indonesian-16-27-2,,,,earlier,cintā,"thought, care",yes,Sanskrit,sans1269
14366,Indonesian-16-33-1,,,,earlier,xawāṭir,"ideas, thoughts",yes,Arabic,stan1318
14367,Indonesian-16-54-1,,,,earlier,bhaya,"terror, danger",yes,Sanskrit,sans1269
14368,Indonesian-16-65-1,,,,earlier,satya,"sincere, truthful, faithful",yes,Sanskrit,sans1269
14369,Indonesian-16-69-1,,,,earlier,mu‘ āf,"free, exempted, excused, forgiven",yes,Arabic,stan1318
14370,Indonesian-16-79-1,,,,earlier,pūjā,worship,yes,Sanskrit,sans1269
14371,Indonesian-17-11-1,,,,earlier,‘aql,"sense, reason, mind",yes,Arabic,stan1318
14372,Indonesian-17-14-1,,,,earlier,fikr,"thinking, cognition, reflection",yes,Arabic,stan1318
14373,Indonesian-17-13-1,,,,earlier,fikr,"thinking, cognition, reflection",yes,Arabic,stan1318
14374,Indonesian-17-15-1,,,,earlier,pratyaya,trust,yes,Sanskrit,sans1269
14375,Indonesian-17-16-1,,,,earlier,artha,meaning,yes,Sanskrit,sans1269
14376,Indonesian-17-19-1,,,,earlier,idée,idea,yes,French,stan1290
14377,Indonesian-17-21-1,,,,earlier,vicakṣaṇa,clever,yes,Sanskrit,sans1269
14378,Indonesian-17-24-1,,,,earlier,ācārya,a spiritual guide or teacher,yes,Sanskrit,sans1269
14379,Indonesian-17-242-1,,,,earlier,ācārya,a spiritual guide or teacher,yes,Sanskrit,sans1269
14380,Indonesian-17-25-1,,,,earlier,ācārya,a spiritual guide or teacher,yes,Sanskrit,sans1269
14381,Indonesian-17-26-1,,,,earlier,murīd,"novice, adherent, disciple",yes,Arabic,stan1318
14382,Indonesian-17-27-1,,,,earlier,guru,any venerable or respectable person,yes,Sanskrit,sans1269
14383,Indonesian-17-28-1,,,,earlier,escola,school,yes,Portuguese,port1283
14384,Indonesian-17-36-1,,,,earlier,rahasya,secret,yes,Sanskrit,sans1269
14385,Indonesian-17-41-1,,,,earlier,maqṣud,"aimed at, intended, meant",yes,Arabic,stan1318
14386,Indonesian-17-42-1,,,,earlier,sabab,"rope, means for obtaining something, reason, cause",yes,Arabic,stan1318
14387,Indonesian-17-44-1,,,,earlier,churikā,knife,yes,Sanskrit,sans1269
14388,Indonesian-17-441-1,,,,earlier,xiyānat-,"faithlessness, treachery, perfidy",yes,Arabic,stan1318
14389,Indonesian-17-45-1,,,,earlier,farḍ,"incision, duty, injunction",yes,Arabic,stan1318
14390,Indonesian-17-49-1,,,,earlier,cāra,"going , motion , progression , course",yes,Sanskrit,sans1269
14391,Indonesian-17-52-1,,,,earlier,kāraṇa,cause,yes,Sanskrit,sans1269
14392,Indonesian-17-53-1,,,,earlier,lau,if,yes,Arabic,stan1318
14393,Indonesian-17-54-1,,,,earlier,athavā,"or, rather",yes,Sanskrit,sans1269
14394,Indonesian-18-11-1,,,,earlier,svara,sound,yes,Sanskrit,sans1269
14395,Indonesian-15-44-1,,,,earlier,svara,sound,yes,Sanskrit,sans1269
14396,Indonesian-18-21-1,,,,earlier,vicāra,discussion,yes,Sanskrit,sans1269
14397,Indonesian-18-221-1,,,,earlier,carita,"acts, deeds, adventures",yes,Sanskrit,sans1269
14398,Indonesian-18-24-1,,,,earlier,bhāṣā,language,yes,Sanskrit,sans1269
14399,Indonesian-18-26-1,,,,earlier,kathā,"conversation, speech, story",yes,Sanskrit,sans1269
14400,Indonesian-18-28-1,,,,earlier,nāma(n),name,yes,Sanskrit,sans1269
14401,Indonesian-18-32-1,,,,earlier,jawāb,"an answer, a reply",yes,Arabic,stan1318
14402,Indonesian-18-43-1,,,,earlier,‘umūm,"generality, totality, (the) public",yes,Arabic,stan1318
14403,Indonesian-18-52-1,,,,earlier,vaca,speaking,yes,Sanskrit,sans1269
14404,Indonesian-18-56-1,,,,earlier,χάρτης,leaf of papyrus,yes,Greek,mode1248
14405,Indonesian-18-61-1,,,,earlier,boek,book,yes,Dutch,dutc1256
14406,Indonesian-18-67-1,,,,earlier,ši‘r,poet,yes,Arabic,stan1318
14407,Indonesian-18-73-1,,,,earlier,trompette,trumpet,yes,French,stan1290
14408,Indonesian-19-11-1,,,,earlier,nagara,"town, city",yes,Sanskrit,sans1269
14409,Indonesian-19-15-1,,,,earlier,kuṭa,"fort, stronghold",yes,Sanskrit,sans1269
14410,Indonesian-19-16-1,,,,earlier,deśa,"region, country",yes,Sanskrit,sans1269
